Entity,Code,Primo caso,Inizio epidemia,Giorni,31/01/20,10/02/20,20/02/20,29/02/20,10/03/20,20/03/20,31/03/20,10/04/20,20/04/20,30/04/20,10/05/20,20/05/20,31/05/20,10/06/20,20/06/20,30/06/20,10/07/20,20/07/20,31/07/20,10/08/20,20/08/20,31/08/20,10/09/20,20/09/20,30/09/20,10/10/20,20/10/20,31/10/20,10/11/20,20/11/20,30/11/20,10/12/20,20/12/20,31/12/20,10/01/21,20/01/21,31/01/21,10/02/21,20/02/21,28/02/21,10/03/21,20/03/21,31/03/21
Tajikistan,TJK,30/04/2020,03/05/2020,264,0,0,0,0,0,0,0,0,0,15,612,2140,3930,4763,5399,5900,6457,6921,7409,7827,8203,8583,8939,9346,9769,10180,10574,11017,11417,11815,12194,12588,12960,13296,13308,13308,,,,,,,
Tanzania,TZA,16/03/2020,17/04/2020,280,0,0,0,0,0,6,19,32,254,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,,,,,,,
Thailand,THA,22/01/2020,,0,19,32,35,42,53,322,1651,2473,2792,2954,3009,3034,3081,3125,3147,3171,3202,3250,3310,3351,3389,3412,3454,3506,3569,3636,3709,3784,3847,3899,4008,4180,5289,7163,10547,12795,,,,,,,
Timor-Leste,TLS,22/03/2020,,0,0,0,0,0,0,0,1,2,22,24,24,24,24,24,24,24,24,24,24,25,25,27,27,27,28,28,29,30,30,30,30,31,31,44,49,53,,,,,,,
Togo,TGO,06/03/2020,29/04/2020,268,0,0,0,0,1,9,34,76,84,116,174,340,442,522,561,650,710,783,941,1067,1212,1400,1537,1666,1784,1935,2104,2331,2558,2796,2974,3182,3416,3633,3957,4459,,,,,,,
Tokelau,TKL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tonga,TON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Trinidad and Tobago,TTO,14/03/2020,04/04/2020,293,0,0,0,0,0,9,87,109,114,116,116,116,117,117,123,130,133,137,169,281,767,1759,2698,3901,4531,5043,5333,5692,5880,6261,6669,6833,7000,7150,7265,7430,,,,,,,
Tunisia,TUN,04/03/2020,24/03/2020,304,0,0,0,0,5,54,394,671,884,994,1032,1045,1077,1087,1156,1174,1240,1381,1535,1717,2543,3803,5882,10732,18413,31259,44450,59813,72993,86265,96769,107814,120687,139140,159276,188373,,,,,,,
Turkey,TUR,11/03/2020,18/03/2020,310,0,0,0,0,0,359,13531,47029,90980,120204,138657,152587,163942,173036,186493,199906,210965,220572,230873,241997,254520,270133,286455,302867,318663,334031,351413,375367,399360,435273,638847,1748567,2024601,2208652,2326256,2406216,,,,,,,
Turkmenistan,TKM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tuvalu,TUV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Uganda,UGA,21/03/2020,06/05/2020,261,0,0,0,0,0,0,44,53,56,83,121,264,417,665,763,889,1006,1069,1154,1297,1750,2972,4291,6287,8129,9701,10788,12495,14704,17431,20459,25730,31187,35216,37742,38628,,,,,,,
Ukraine,UKR,03/03/2020,24/03/2020,304,0,0,0,0,1,29,645,2203,5710,10406,15232,19230,23672,29015,36615,45254,53116,60767,71404,83812,100810,124132,149146,180119,214446,263105,317967,399330,493544,614986,752343,881727,991700,1086997,1150265,1210854,,,,,,,
United Arab Emirates,ARE,29/01/2020,,0,4,8,9,21,74,140,664,3360,7265,12481,18198,26004,34557,40507,44533,48667,54050,57193,60506,62704,65802,70231,76911,84916,94190,105133,117594,132629,144385,156523,168860,181405,193575,207822,230578,263729,,,,,,,
US,USA,22/01/2020,02/03/2020,326,8,12,14,25,782,20030,192177,514942,799212,1080303,1338381,1560975,1797763,1999178,2252125,2633466,3183634,3831042,4559806,5087700,5568994,6023258,6395602,6805666,7228526,7718042,8286333,9154267,10333769,12012766,13643626,15743375,17901710,20032035,22410067,24438723,,,,,,,
United States Virgin Islands,VIR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Uruguay,URY,13/03/2020,20/03/2020,308,0,0,0,0,0,110,338,494,535,643,707,746,823,847,859,936,985,1064,1264,1364,1506,1595,1759,1917,2046,2268,2623,3124,3620,4477,5857,8487,13048,19119,26186,34294,,,,,,,
Uzbekistan,UZB,15/03/2020,28/03/2020,300,0,0,0,0,0,33,172,624,1627,2039,2418,2939,3623,4623,6153,8503,12027,17149,24009,31304,37547,41893,45473,51640,56717,60776,63831,66932,69027,71208,73094,74498,75933,77060,77572,78163,,,,,,,
Vanuatu,VUT,10/11/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,
Holy See,VAT,06/03/2020,,0,0,0,0,0,1,1,6,8,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,27,27,27,27,27,27,27,27,27,,,,,,,
Venezuela,VEN,14/03/2020,25/03/2020,303,0,0,0,0,0,42,135,171,256,333,414,824,1510,2738,3789,5832,8803,12334,18574,26800,37567,46728,57823,66656,75122,82453,87644,92013,95445,99017,102394,106280,110075,113558,116610,121691,,,,,,,
Vietnam,VNM,23/01/2020,,0,2,14,16,16,31,91,212,257,268,270,288,324,328,332,349,355,370,384,558,847,1007,1044,1059,1068,1094,1107,1141,1180,1226,1305,1347,1385,1413,1465,1514,1544,,,,,,,
Western Sahara,ESH,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yemen,YEM,10/04/2020,15/05/2020,252,0,0,0,0,0,0,0,1,1,6,51,180,323,560,922,1158,1380,1619,1728,1832,1899,1958,2003,2026,2034,2051,2057,2063,2063,2069,2077,2081,2087,2099,2104,2115,,,,,,,
Zambia,ZMB,18/03/2020,30/04/2020,267,0,0,0,0,0,2,35,40,65,106,267,832,1057,1200,1430,1594,1895,3326,5963,8210,10372,12097,13214,14131,14759,15415,15982,16432,16997,17373,17647,18091,18716,20725,27728,40949,,,,,,,
Zimbabwe,ZWE,20/03/2020,27/05/2020,240,0,0,0,0,0,1,8,13,25,40,36,48,178,320,479,591,942,1713,3169,4748,5745,6497,7453,7683,7838,8010,8187,8367,8610,9120,9950,11081,12325,13867,21477,29408,,,,,,,
